assoc,bzip,equake,gcc,gzip,mcf,swim
1,1.0024,1.6836,1.2629,0.9986,2.0589,2.7529
2,1.0144,1.7531,1.278,1.0144,2.1907,2.8
4,1.0144,1.7562,1.2816,1.0144,2.1907,2.8014
8,1.0144,1.7571,1.285,1.0144,2.1907,2.8014
16,1.0144,1.7571,1.2867,1.0144,2.1907,2.8014
32,1.0144,1.7571,1.2864,1.0144,2.1907,2.8014
