size,bzip,equake,gcc,gzip,mcf,swim
1,1.0144,1.4762,1.2005,1.0144,2.1907,2.6562
2,1.0144,1.6738,1.2275,1.0144,2.1907,2.7804
4,1.0144,1.7509,1.2499,1.0144,2.1907,2.8011
8,1.0144,1.7562,1.2816,1.0144,2.1907,2.8014
16,1.0144,1.7578,1.3165,1.0144,2.1907,2.8015
32,1.0144,1.7579,1.3335,1.0144,2.1907,2.8016
64,1.0144,1.7579,1.3423,1.0144,2.1907,2.8016
