line,bzip,equake,gcc,gzip,mcf,swim
8,1.0284,1.756,1.2966,1.0287,2.19,2.802
16,1.0143,1.756,1.2902,1.0143,2.1907,2.802
32,1.0144,1.7562,1.2816,1.0144,2.1907,2.8014
64,1.0144,1.7553,1.2751,1.0144,2.1907,2.8016
